@RELATION HeaderDataClassification

@ATTRIBUTE CellNum		NUMERIC
@ATTRIBUTE AvgCellLen		NUMERIC
@ATTRIBUTE CharNum		NUMERIC
@ATTRIBUTE DigitChRatio		NUMERIC
@ATTRIBUTE AlphaChRatio		NUMERIC
@ATTRIBUTE SymbolChRatio	NUMERIC
@ATTRIBUTE FontSize		NUMERIC
@ATTRIBUTE FontBold		NUMERIC
@ATTRIBUTE FontItalic		NUMERIC
@ATTRIBUTE NumCellRatio		NUMERIC
@ATTRIBUTE CellNumRatio		NUMERIC
@ATTRIBUTE class	{HeaderDataClassification-0, HeaderDataClassification-1}

@DATA
3,	40,	121,	0.01,	0.22,	0.07,	1.33,	0.33,	0.33,	0.0,	0.53,	HeaderDataClassification-0
10,	19,	194,	0.20,	0.07,	0.09,	1.13,	0.2,	0.2,	0.1,	0.53,	HeaderDataClassification-0
8,	5,	42,	0.0,	0.85,	0.14,	1.0,	0.25,	0.87,	0.5,	0.62,	HeaderDataClassification-1
35,	27,	972,	0.01,	0.76,	0.17,	1.02,	0.0,	0.0,	0.0,	0.12,	HeaderDataClassification-0
27,	47,	1294,	0.0,	0.21,	0.03,	1.03,	0.0,	0.0,	0.0,	0.12,	HeaderDataClassification-0
5,	6,	30,	0.0,	0.8,	0.2,	1.0,	0.4,	0.0,	0.0,	0.23,	HeaderDataClassification-1
8,	20,	164,	0.0,	0.61,	0.20,	1.12,	0.25,	0.0,	0.0,	0.11,	HeaderDataClassification-0
10,	45,	456,	0.0,	0.47,	0.16,	1.11,	0.1,	0.0,	0.0,	0.42,	HeaderDataClassification-0
4,	149,	597,	0.07,	0.03,	0.13,	1.27,	0.25,	0.0,	0.0,	0.42,	HeaderDataClassification-0
3,	28,	84,	0.0,	0.72,	0.27,	1.0,	0.0,	0.0,	0.0,	0.2,	HeaderDataClassification-1
2,	48,	96,	0.0,	0.09,	0.03,	1.5,	0.0,	0.0,	0.5,	0.2,	HeaderDataClassification-0
8,	25,	201,	0.0,	0.76,	0.23,	1.0,	0.0,	0.0,	0.0,	0.14,	HeaderDataClassification-1
6,	44,	266,	0.0,	0.19,	0.04,	1.16,	0.83,	0.66,	0.16,	0.2,	HeaderDataClassification-0
9,	45,	409,	0.0,	0.27,	0.07,	1.12,	0.22,	0.0,	0.0,	0.2,	HeaderDataClassification-0
6,	82,	492,	0.0,	0.14,	0.02,	1.18,	1.0,	0.66,	0.0,	0.2,	HeaderDataClassification-0
3,	28,	84,	0.0,	0.72,	0.27,	1.0,	0.0,	0.0,	0.0,	0.2,	HeaderDataClassification-1
2,	48,	96,	0.0,	0.09,	0.03,	1.5,	0.0,	0.0,	0.5,	0.2,	HeaderDataClassification-0
8,	25,	201,	0.0,	0.76,	0.23,	1.0,	0.0,	0.0,	0.0,	0.14,	HeaderDataClassification-1
6,	44,	266,	0.0,	0.19,	0.04,	1.16,	0.83,	0.66,	0.16,	0.2,	HeaderDataClassification-0
9,	45,	409,	0.0,	0.27,	0.07,	1.12,	0.22,	0.0,	0.0,	0.2,	HeaderDataClassification-0
6,	82,	492,	0.0,	0.14,	0.02,	1.18,	1.0,	0.66,	0.0,	0.2,	HeaderDataClassification-0
3,	6,	18,	0.0,	0.83,	0.16,	1.0,	0.33,	0.0,	0.0,	0.0,	HeaderDataClassification-1
3,	11,	33,	0.06,	0.27,	0.12,	1.33,	0.33,	0.0,	0.66,	0.33,	HeaderDataClassification-0
6,	9,	56,	0.08,	0.19,	0.12,	1.22,	0.16,	0.0,	0.83,	0.0,	HeaderDataClassification-0
6,	12,	75,	0.06,	0.09,	0.09,	1.20,	0.16,	0.0,	0.83,	0.0,	HeaderDataClassification-0
6,	15,	95,	0.05,	0.08,	0.07,	1.20,	0.16,	0.0,	0.83,	0.33,	HeaderDataClassification-0
3,	35,	105,	0.01,	0.04,	0.02,	1.40,	0.33,	0.0,	0.66,	0.14,	HeaderDataClassification-0
4,	29,	118,	0.02,	0.04,	0.04,	1.35,	0.25,	0.0,	0.75,	0.14,	HeaderDataClassification-0
6,	10,	61,	0.0,	0.91,	0.08,	12.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
6,	19,	114,	0.22,	0.17,	0.06,	14.0,	0.0,	0.0,	0.33,	0.0,	HeaderDataClassification-0
6,	25,	150,	0.1,	0.13,	0.00,	14.3,	0.0,	0.0,	0.66,	0.0,	HeaderDataClassification-0
